ROOM_CODE|ROOM_DESCRIPTION|ROOM_TYPE|ROOM_TYPEDESCRIPTION|ROOM_CHARACTERISTIC|ROOM_CHARACTERISTICDESCRIPTION|
APT.1B|APARTMENT ONE BED|APT|APARTMENT|1B|ONE BED|
APT.1B-1|APARTMENT ONE BED|APT|APARTMENT|1B-1|ONE BED|
APT.1B-DX|APARTMENT DELUXE ONE BED|APT|APARTMENT|1B-DX|DELUXE ONE BED|
APT.1W-B1|APARTMENT ONE BEDROOM ONE BATHROOM|APT|APARTMENT|1W-B1|ONE BEDROOM ONE BATHROOM|
APT.1W-B2|APARTMENT TWO BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B2|TWO BEDROOMS ONE BATHROOM|
APT.1W-B3|APARTMENT THREE BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B3|THREE BEDROOMS ONE BATHROOM|
APT.1W-B4|APARTMENT FOUR BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B4|FOUR BEDROOMS ONE BATHROOM|
APT.2B|APARTMENT TWO BEDS|APT|APARTMENT|2B|TWO BEDS|
APT.2B-1|APARTMENT TWO BEDS|APT|APARTMENT|2B-1|TWO BEDS|
APT.2B-CV|APARTMENT CITY VIEW TWO BEDS|APT|APARTMENT|2B-CV|CITY VIEW TWO BEDS|
APT.2B-DX|APARTMENT DELUXE TWO BEDS|APT|APARTMENT|2B-DX|DELUXE TWO BEDS|
APT.2D|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D|TWO DOUBLE BEDS|
APT.2D-1|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-1|TWO DOUBLE BEDS|
APT.2D-2|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-2|TWO DOUBLE BEDS|
APT.2D-3|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-3|TWO DOUBLE BEDS|
APT.2D-4|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-4|TWO DOUBLE BEDS|
APT.2D-5|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-5|TWO DOUBLE BEDS|
APT.2D-6|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-6|TWO DOUBLE BEDS|
APT.2D-AS|APARTMENT CLASSIC TWO DOUBLE BEDS|APT|APARTMENT|2D-AS|CLASSIC TWO DOUBLE BEDS|
APT.2D-DX|APARTMENT DELUXE TWO DOUBLE BEDS|APT|APARTMENT|2D-DX|DELUXE TWO DOUBLE BEDS|
APT.2D-SU|APARTMENT SUPERIOR TWO DOUBLE BEDS|APT|APARTMENT|2D-SU|SUPERIOR TWO DOUBLE BEDS|
APT.2K|APARTMENT TWO KING BEDS|APT|APARTMENT|2K|TWO KING BEDS|
APT.2Q|APARTMENT TWO QUEEN BEDS|APT|APARTMENT|2Q|TWO QUEEN BEDS|
APT.2Q-B1|APARTMENT TWO QUEEN BEDS ONE BEDROOM|APT|APARTMENT|2Q-B1|TWO QUEEN BEDS ONE BEDROOM|
APT.2Q-DX|APARTMENT DELUXE TWO QUEEN BEDS|APT|APARTMENT|2Q-DX|DELUXE TWO QUEEN BEDS|
APT.2Q-NM|APARTMENT TWO QUEEN BEDS NON SMOKING|APT|APARTMENT|2Q-NM|TWO QUEEN BEDS NON SMOKING|
APT.2Q-OV|APARTMENT OCEAN VIEW TWO QUEEN BEDS|APT|APARTMENT|2Q-OV|OCEAN VIEW TWO QUEEN BEDS|
APT.2W-B1|APARTMENT ONE BEDROOM TWO BATHROOMS|APT|APARTMENT|2W-B1|ONE BEDROOM TWO BATHROOMS|
APT.2W-B2|APARTMENT TWO BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B2|TWO BEDROOMS TWO BATHROOMS|
APT.2W-B3|APARTMENT THREE BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B3|THREE BEDROOMS TWO BATHROOMS|
APT.2W-B4|APARTMENT FOUR BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B4|FOUR BEDROOMS TWO BATHROOMS|
APT.2W-B6|APARTMENT SIX BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B6|SIX BEDROOMS TWO BATHROOMS|
APT.3B|APARTMENT THREE BEDS|APT|APARTMENT|3B|THREE BEDS|
APT.3W-B3|APARTMENT THREE BEDROOMS THREE BATHROOMS|APT|APARTMENT|3W-B3|THREE BEDROOMS THREE BATHROOMS|
APT.3W-B4|APARTMENT FOUR BEDROOMS THREE BATHROOMS|APT|APARTMENT|3W-B4|FOUR BEDROOMS THREE BATHROOMS|
APT.AC|APARTMENT WITH AIR CONDITIONING|APT|APARTMENT|AC|WITH AIR CONDITIONING|
APT.AC-1|APARTMENT WITH AIR CONDITIONING|APT|APARTMENT|AC-1|WITH AIR CONDITIONING|
APT.AC-B1|APARTMENT ONE BEDROOM WITH AIR CONDITIONING|APT|APARTMENT|AC-B1|ONE BEDROOM WITH AIR CONDITIONING|
APT.AC-B2|APARTMENT TWO BEDROOMS WITH AIR CONDITIONING|APT|APARTMENT|AC-B2|TWO BEDROOMS WITH AIR CONDITIONING|
APT.AC-B3|APARTMENT THREE BEDROOMS WITH AIR CONDITIONING|APT|APARTMENT|AC-B3|THREE BEDROOMS WITH AIR CONDITIONING|
APT.AC-C2|APARTMENT CAPACITY 2 WITH AIR CONDITIONING|APT|APARTMENT|AC-C2|CAPACITY 2 WITH AIR CONDITIONING|
APT.AS|APARTMENT CLASSIC|APT|APARTMENT|AS|CLASSIC|
APT.AS-1|APARTMENT CLASSIC|APT|APARTMENT|AS-1|CLASSIC|
APT.AS-2|APARTMENT CLASSIC|APT|APARTMENT|AS-2|CLASSIC|
APT.AS-3|APARTMENT CLASSIC|APT|APARTMENT|AS-3|CLASSIC|
APT.AS-4|APARTMENT CLASSIC|APT|APARTMENT|AS-4|CLASSIC|
APT.AS-5|APARTMENT CLASSIC|APT|APARTMENT|AS-5|CLASSIC|
APT.AS-6|APARTMENT CLASSIC|APT|APARTMENT|AS-6|CLASSIC|
APT.AS-B1|APARTMENT CLASSIC ONE BEDROOM|APT|APARTMENT|AS-B1|CLASSIC ONE BEDROOM|
APT.AS-B2|APARTMENT CLASSIC TWO BEDROOMS|APT|APARTMENT|AS-B2|CLASSIC TWO BEDROOMS|
APT.AS-BL|APARTMENT CLASSIC WITH BALCONY|APT|APARTMENT|AS-BL|CLASSIC WITH BALCONY|
APT.AS-DB|APARTMENT CLASSIC DOUBLE BED|APT|APARTMENT|AS-DB|CLASSIC DOUBLE BED|
APT.AS-TR|APARTMENT CLASSIC WITH TERRACE|APT|APARTMENT|AS-TR|CLASSIC WITH TERRACE|
APT.AS-VM|APARTMENT CLASSIC SEA VIEW|APT|APARTMENT|AS-VM|CLASSIC SEA VIEW|
APT.AS-VP|APARTMENT CLASSIC POOL VIEW|APT|APARTMENT|AS-VP|CLASSIC POOL VIEW|
APT.AX|APARTMENT ANNEX|APT|APARTMENT|AX|ANNEX|
APT.AX-1|APARTMENT ANNEX|APT|APARTMENT|AX-1|ANNEX|
APT.B1|APARTMENT ONE BEDROOM|APT|APARTMENT|B1|ONE BEDROOM|
APT.B1-1|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-1|ONE BEDROOM|
APT.B1-10|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-10|ONE BEDROOM|
APT.B1-2|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-2|ONE BEDROOM|
APT.B1-3|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-3|ONE BEDROOM|
APT.B1-4|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-4|ONE BEDROOM|
APT.B1-5|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-5|ONE BEDROOM|
APT.B1-6|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-6|ONE BEDROOM|
APT.B1-7|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-7|ONE BEDROOM|
APT.B1-8|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-8|ONE BEDROOM|
APT.B1-9|APARTMENT ONE BEDROOM|APT|APARTMENT|B1-9|ONE BEDROOM|
APT.B1-C1|APARTMENT CAPACITY 1 ONE BEDROOM|APT|APARTMENT|B1-C1|CAPACITY 1 ONE BEDROOM|
APT.B1-C2|APARTMENT CAPACITY 2 ONE BEDROOM|APT|APARTMENT|B1-C2|CAPACITY 2 ONE BEDROOM|
APT.B1-C3|APARTMENT CAPACITY 3 ONE BEDROOM|APT|APARTMENT|B1-C3|CAPACITY 3 ONE BEDROOM|
APT.B1-C4|APARTMENT CAPACITY 4 ONE BEDROOM|APT|APARTMENT|B1-C4|CAPACITY 4 ONE BEDROOM|
APT.B1-C5|APARTMENT CAPACITY 5 ONE BEDROOM|APT|APARTMENT|B1-C5|CAPACITY 5 ONE BEDROOM|
APT.B1-C6|APARTMENT CAPACITY 6 ONE BEDROOM|APT|APARTMENT|B1-C6|CAPACITY 6 ONE BEDROOM|
APT.B1-CV|APARTMENT CITY VIEW ONE BEDROOM|APT|APARTMENT|B1-CV|CITY VIEW ONE BEDROOM|
APT.B1-DX|APARTMENT DELUXE ONE BEDROOM|APT|APARTMENT|B1-DX|DELUXE ONE BEDROOM|
APT.B1-DX-OV|APARTMENT DELUXE OCEAN VIEW ONE BEDROOM|APT|APARTMENT|B1-DX-OV|DELUXE OCEAN VIEW ONE BEDROOM|
APT.B1-EJ|APARTMENT EXECUTIVE ONE BEDROOM|APT|APARTMENT|B1-EJ|EXECUTIVE ONE BEDROOM|
APT.B1-GV|APARTMENT GARDEN VIEW ONE BEDROOM|APT|APARTMENT|B1-GV|GARDEN VIEW ONE BEDROOM|
APT.B1-KG|APARTMENT KING BED ONE BEDROOM |APT|APARTMENT|B1-KG|KING BED ONE BEDROOM |
APT.B1-LX|APARTMENT LUXURY ONE BEDROOM|APT|APARTMENT|B1-LX|LUXURY ONE BEDROOM|
APT.B1-OF|APARTMENT OCEAN FRONT ONE BEDROOM|APT|APARTMENT|B1-OF|OCEAN FRONT ONE BEDROOM|
APT.B1-OV|APARTMENT OCEAN VIEW ONE BEDROOM|APT|APARTMENT|B1-OV|OCEAN VIEW ONE BEDROOM|
APT.B1-PE|APARTMENT PREMIER ONE BEDROOM|APT|APARTMENT|B1-PE|PREMIER ONE BEDROOM|
APT.B1-PI|APARTMENT PREMIUM ONE BEDROOM|APT|APARTMENT|B1-PI|PREMIUM ONE BEDROOM|
APT.B1-PO|APARTMENT PARTIAL OCEAN VIEW ONE BEDROOM|APT|APARTMENT|B1-PO|PARTIAL OCEAN VIEW ONE BEDROOM|
APT.B1-SS|APARTMENT SIDE SEA VIEW ONE BEDROOM|APT|APARTMENT|B1-SS|SIDE SEA VIEW ONE BEDROOM|
APT.B1-SU|APARTMENT SUPERIOR ONE BEDROOM|APT|APARTMENT|B1-SU|SUPERIOR ONE BEDROOM|
APT.B1-TR|APARTMENT ONE BEDROOM WITH TERRACE|APT|APARTMENT|B1-TR|ONE BEDROOM WITH TERRACE|
APT.B1-VM|APARTMENT SEA VIEW ONE BEDROOM|APT|APARTMENT|B1-VM|SEA VIEW ONE BEDROOM|
APT.B1-VP|APARTMENT POOL VIEW ONE BEDROOM|APT|APARTMENT|B1-VP|POOL VIEW ONE BEDROOM|
APT.B2|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2|TWO BEDROOMS|
APT.B2-1|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-1|TWO BEDROOMS|
APT.B2-2|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-2|TWO BEDROOMS|
APT.B2-3|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-3|TWO BEDROOMS|
APT.B2-4|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-4|TWO BEDROOMS|
APT.B2-5|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-5|TWO BEDROOMS|
APT.B2-6|APARTMENT TWO BEDROOMS|APT|APARTMENT|B2-6|TWO BEDROOMS|
APT.B2-BF|APARTMENT BEACH FRONT TWO BEDROOMS|APT|APARTMENT|B2-BF|BEACH FRONT TWO BEDROOMS|
APT.B2-C2|APARTMENT CAPACITY 2 TWO BEDROOMS|APT|APARTMENT|B2-C2|CAPACITY 2 TWO BEDROOMS|
APT.B2-C3|APARTMENT CAPACITY 3 TWO BEDROOMS|APT|APARTMENT|B2-C3|CAPACITY 3 TWO BEDROOMS|
APT.B2-C4|APARTMENT CAPACITY 4 TWO BEDROOMS|APT|APARTMENT|B2-C4|CAPACITY 4 TWO BEDROOMS|
APT.B2-C5|APARTMENT CAPACITY 5 TWO BEDROOMS|APT|APARTMENT|B2-C5|CAPACITY 5 TWO BEDROOMS|
APT.B2-C6|APARTMENT CAPACITY 6 TWO BEDROOMS|APT|APARTMENT|B2-C6|CAPACITY 6 TWO BEDROOMS|
APT.B2-C7|APARTMENT CAPACITY 7 TWO BEDROOMS|APT|APARTMENT|B2-C7|CAPACITY 7 TWO BEDROOMS|
APT.B2-C8|APARTMENT CAPACITY 8 TWO BEDROOMS|APT|APARTMENT|B2-C8|CAPACITY 8 TWO BEDROOMS|
APT.B2-CV|APARTMENT CITY VIEW TWO BEDROOMS|APT|APARTMENT|B2-CV|CITY VIEW TWO BEDROOMS|
APT.B2-DX|APARTMENT DELUXE TWO BEDROOM|APT|APARTMENT|B2-DX|DELUXE TWO BEDROOM|
APT.B2-EJ|APARTMENT EXECUTIVE TWO BEDROOMS|APT|APARTMENT|B2-EJ|EXECUTIVE TWO BEDROOMS|
APT.B2-GV|APARTMENT GARDEN VIEW TWO BEDROOMS|APT|APARTMENT|B2-GV|GARDEN VIEW TWO BEDROOMS|
APT.B2-KG|APARTMENT KING BED TWO BEDROOMS|APT|APARTMENT|B2-KG|KING BED TWO BEDROOMS|
APT.B2-LX|APARTMENT LUXURY TWO BEDROOMS|APT|APARTMENT|B2-LX|LUXURY TWO BEDROOMS|
APT.B2-NM|APARTMENT TWO BEDROOMS NON SMOKING|APT|APARTMENT|B2-NM|TWO BEDROOMS NON SMOKING|
APT.B2-OF|APARTMENT OCEAN FRONT TWO BEDROOMS|APT|APARTMENT|B2-OF|OCEAN FRONT TWO BEDROOMS|
APT.B2-OV|APARTMENT OCEAN VIEW TWO BEDROOMS|APT|APARTMENT|B2-OV|OCEAN VIEW TWO BEDROOMS|
APT.B2-PE|APARTMENT PREMIER TWO BEDROOMS|APT|APARTMENT|B2-PE|PREMIER TWO BEDROOMS|
APT.B2-PI|APARTMENT PREMIUM TWO BEDROOMS|APT|APARTMENT|B2-PI|PREMIUM TWO BEDROOMS|
APT.B2-PO|APARTMENT PARTIAL OCEAN VIEW TWO BEDROOMS|APT|APARTMENT|B2-PO|PARTIAL OCEAN VIEW TWO BEDROOMS|
APT.B2-PP|APARTMENT TWO BEDROOMS WITH PRIVATE POOL|APT|APARTMENT|B2-PP|TWO BEDROOMS WITH PRIVATE POOL|
APT.B2-QN|APARTMENT QUEEN BED TWO BEDROOMS|APT|APARTMENT|B2-QN|QUEEN BED TWO BEDROOMS|
APT.B2-SS|APARTMENT SIDE SEA VIEW TWO BEDROOMS|APT|APARTMENT|B2-SS|SIDE SEA VIEW TWO BEDROOMS|
APT.B2-SU|APARTMENT SUPERIOR TWO BEDROOMS|APT|APARTMENT|B2-SU|SUPERIOR TWO BEDROOMS|
APT.B2-TR|APARTMENT TWO BEDROOMS WITH TERRACE|APT|APARTMENT|B2-TR|TWO BEDROOMS WITH TERRACE|
APT.B2-VM|APARTMENT SEA VIEW TWO BEDROOMS|APT|APARTMENT|B2-VM|SEA VIEW TWO BEDROOMS|
APT.B2-VP|APARTMENT POOL VIEW TWO BEDROOMS|APT|APARTMENT|B2-VP|POOL VIEW TWO BEDROOMS|
APT.B3|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3|THREE BEDROOMS|
APT.B3-1|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-1|THREE BEDROOMS|
APT.B3-2|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-2|THREE BEDROOMS|
APT.B3-3|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-3|THREE BEDROOMS|
APT.B3-4|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-4|THREE BEDROOMS|
APT.B3-5|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-5|THREE BEDROOMS|
APT.B3-6|APARTMENT THREE BEDROOMS|APT|APARTMENT|B3-6|THREE BEDROOMS|
APT.B3-C4|APARTMENT CAPACITY 4 THREE BEDROOM|APT|APARTMENT|B3-C4|CAPACITY 4 THREE BEDROOM|
APT.B3-C5|APARTMENT CAPACITY 5 THREE BEDROOM|APT|APARTMENT|B3-C5|CAPACITY 5 THREE BEDROOM|
APT.B3-C6|APARTMENT CAPACITY 6 THREE BEDROOM|APT|APARTMENT|B3-C6|CAPACITY 6 THREE BEDROOM|
APT.B3-C7|APARTMENT CAPACITY 7 THREE BEDROOMS|APT|APARTMENT|B3-C7|CAPACITY 7 THREE BEDROOMS|
APT.B3-C8|APARTMENT CAPACITY 8 THREE BEDROOMS|APT|APARTMENT|B3-C8|CAPACITY 8 THREE BEDROOMS|
APT.B3-DX|APARTMENT DELUXE THREE BEDROOM|APT|APARTMENT|B3-DX|DELUXE THREE BEDROOM|
APT.B3-EJ|APARTMENT EXECUTIVE THREE BEDROOMS|APT|APARTMENT|B3-EJ|EXECUTIVE THREE BEDROOMS|
APT.B3-OV|APARTMENT OCEAN VIEW THREE BEDROOMS|APT|APARTMENT|B3-OV|OCEAN VIEW THREE BEDROOMS|
APT.B3-PP|APARTMENT THREE BEDROOMS WITH PRIVATE POOL|APT|APARTMENT|B3-PP|THREE BEDROOMS WITH PRIVATE POOL|
APT.B3-SU|APARTMENT SUPERIOR THREE BEDROOMS|APT|APARTMENT|B3-SU|SUPERIOR THREE BEDROOMS|
APT.B3-VM|APARTMENT SEA VIEW THREE BEDROOMS|APT|APARTMENT|B3-VM|SEA VIEW THREE BEDROOMS|
APT.B4|APARTMENT FOUR BEDROOMS|APT|APARTMENT|B4|FOUR BEDROOMS|
APT.B4-1|APARTMENT FOUR BEDROOMS|APT|APARTMENT|B4-1|FOUR BEDROOMS|
APT.B4-2|APARTMENT FOUR BEDROOMS|APT|APARTMENT|B4-2|FOUR BEDROOMS|
APT.B4-4|APARTMENT FOUR BEDROOMS|APT|APARTMENT|B4-4|FOUR BEDROOMS|
APT.B4-C8|APARTMENT CAPACITY 8 FOUR BEDROOMS|APT|APARTMENT|B4-C8|CAPACITY 8 FOUR BEDROOMS|
APT.B4-C9|APARTMENT CAPACITY 9 FOUR BEDROOMS|APT|APARTMENT|B4-C9|CAPACITY 9 FOUR BEDROOMS|
APT.B4-SU|APARTMENT SUPERIOR FOUR BEDROOMS|APT|APARTMENT|B4-SU|SUPERIOR FOUR BEDROOMS|
APT.B5|APARTMENT FIVE BEDROOMS|APT|APARTMENT|B5|FIVE BEDROOMS|
APT.B5-1|APARTMENT FIVE BEDROOMS|APT|APARTMENT|B5-1|FIVE BEDROOMS|
APT.B7-XW|APARTMENT SEVEN BEDROOMS WITH MORE THAN THREE BATHROOMS|APT|APARTMENT|B7-XW|SEVEN BEDROOMS WITH MORE THAN THREE BATHROOMS|
APT.BF|APARTMENT BEACH FRONT|APT|APARTMENT|BF|BEACH FRONT|
APT.BF-1|APARTMENT BEACH FRONT|APT|APARTMENT|BF-1|BEACH FRONT|
APT.BF-2|APARTMENT BEACH FRONT|APT|APARTMENT|BF-2|BEACH FRONT|
APT.BF-3|APARTMENT BEACH FRONT|APT|APARTMENT|BF-3|BEACH FRONT|
APT.BK|APARTMENT BUNK BED|APT|APARTMENT|BK|BUNK BED|
APT.BL|APARTMENT WITH BALCONY|APT|APARTMENT|BL|WITH BALCONY|
APT.BL-1|APARTMENT WITH BALCONY|APT|APARTMENT|BL-1|WITH BALCONY|
APT.BL-2|APARTMENT WITH BALCONY|APT|APARTMENT|BL-2|WITH BALCONY|
APT.BL-3|APARTMENT WITH BALCONY|APT|APARTMENT|BL-3|WITH BALCONY|
APT.BL-4|APARTMENT WITH BALCONY|APT|APARTMENT|BL-4|WITH BALCONY|
APT.BL-6|APARTMENT WITH BALCONY|APT|APARTMENT|BL-6|WITH BALCONY|
APT.BL-DX|APARTMENT DELUXE WITH BALCONY|APT|APARTMENT|BL-DX|DELUXE WITH BALCONY|
APT.BL-GV|APARTMENT GARDEN VIEW WITH BALCONY|APT|APARTMENT|BL-GV|GARDEN VIEW WITH BALCONY|
APT.BL-PV|APARTMENT PARK VIEW WITH BALCONY|APT|APARTMENT|BL-PV|PARK VIEW WITH BALCONY|
APT.BL-SS|APARTMENT SIDE SEA VIEW WITH BALCONY|APT|APARTMENT|BL-SS|SIDE SEA VIEW WITH BALCONY|
APT.BL-SU|APARTMENT SUPERIOR WITH BALCONY|APT|APARTMENT|BL-SU|SUPERIOR WITH BALCONY|
APT.BL-VM|APARTMENT SEA VIEW WITH BALCONY|APT|APARTMENT|BL-VM|SEA VIEW WITH BALCONY|
APT.BS|APARTMENT BUSINESS|APT|APARTMENT|BS|BUSINESS|
APT.BS-1|APARTMENT BUSINESS|APT|APARTMENT|BS-1|BUSINESS|
APT.BS-2|APARTMENT BUSINESS|APT|APARTMENT|BS-2|BUSINESS|
APT.BS-3|APARTMENT BUSINESS|APT|APARTMENT|BS-3|BUSINESS|
APT.BS-SU|APARTMENT BUSINESS SUPERIOR|APT|APARTMENT|BS-SU|BUSINESS SUPERIOR|
APT.BV|APARTMENT BAY VIEW|APT|APARTMENT|BV|BAY VIEW|
APT.BV-1|APARTMENT BAY VIEW|APT|APARTMENT|BV-1|BAY VIEW|
APT.BV-2|APARTMENT BAY VIEW|APT|APARTMENT|BV-2|BAY VIEW|
APT.C1|APARTMENT CAPACITY 1|APT|APARTMENT|C1|CAPACITY 1|
APT.C1-1|APARTMENT CAPACITY 1|APT|APARTMENT|C1-1|CAPACITY 1|
APT.C1-2|APARTMENT CAPACITY 1|APT|APARTMENT|C1-2|CAPACITY 1|
APT.C1-3|APARTMENT CAPACITY 1|APT|APARTMENT|C1-3|CAPACITY 1|
APT.C1-4|APARTMENT CAPACITY 1|APT|APARTMENT|C1-4|CAPACITY 1|
APT.C2|APARTMENT CAPACITY 2|APT|APARTMENT|C2|CAPACITY 2|
APT.C2-1|APARTMENT CAPACITY 2|APT|APARTMENT|C2-1|CAPACITY 2|
APT.C2-2|APARTMENT CAPACITY 2|APT|APARTMENT|C2-2|CAPACITY 2|
APT.C2-3|APARTMENT CAPACITY 2|APT|APARTMENT|C2-3|CAPACITY 2|
APT.C2-4|APARTMENT CAPACITY 2|APT|APARTMENT|C2-4|CAPACITY 2|
APT.C2-DX|APARTMENT DELUXE CAPACITY 2|APT|APARTMENT|C2-DX|DELUXE CAPACITY 2|
APT.C2-EJ|APARTMENT EXECUTIVE CAPACITY 2|APT|APARTMENT|C2-EJ|EXECUTIVE CAPACITY 2|
APT.C2-GV|APARTMENT GARDEN VIEW CAPACITY 2|APT|APARTMENT|C2-GV|GARDEN VIEW CAPACITY 2|
APT.C2-SU|APARTMENT SUPERIOR CAPACITY 2|APT|APARTMENT|C2-SU|SUPERIOR CAPACITY 2|
APT.C2-VM|APARTMENT SEA VIEW CAPACITY 2|APT|APARTMENT|C2-VM|SEA VIEW CAPACITY 2|
APT.C3|APARTMENT CAPACITY 3|APT|APARTMENT|C3|CAPACITY 3|
APT.C3-1|APARTMENT CAPACITY 3|APT|APARTMENT|C3-1|CAPACITY 3|
APT.C3-2|APARTMENT CAPACITY 3|APT|APARTMENT|C3-2|CAPACITY 3|
APT.C3-3|APARTMENT CAPACITY 3|APT|APARTMENT|C3-3|CAPACITY 3|
APT.C3-SU|APARTMENT SUPERIOR CAPACITY 3|APT|APARTMENT|C3-SU|SUPERIOR CAPACITY 3|
APT.C3-VM|APARTMENT SEA VIEW CAPACITY 3|APT|APARTMENT|C3-VM|SEA VIEW CAPACITY 3|
APT.C4|APARTMENT CAPACITY 4|APT|APARTMENT|C4|CAPACITY 4|
APT.C4-1|APARTMENT CAPACITY 4|APT|APARTMENT|C4-1|CAPACITY 4|
APT.C4-2|APARTMENT CAPACITY 4|APT|APARTMENT|C4-2|CAPACITY 4|
APT.C4-3|APARTMENT CAPACITY 4|APT|APARTMENT|C4-3|CAPACITY 4|
APT.C4-4|APARTMENT CAPACITY 4|APT|APARTMENT|C4-4|CAPACITY 4|
APT.C4-DX|APARTMENT DELUXE CAPACITY 4|APT|APARTMENT|C4-DX|DELUXE CAPACITY 4|
APT.C4-SU|APARTMENT SUPERIOR CAPACITY 4|APT|APARTMENT|C4-SU|SUPERIOR CAPACITY 4|
APT.C4-VM|APARTMENT SEA VIEW CAPACITY 4|APT|APARTMENT|C4-VM|SEA VIEW CAPACITY 4|
APT.C5|APARTMENT CAPACITY 5|APT|APARTMENT|C5|CAPACITY 5|
APT.C5-1|APARTMENT CAPACITY 5|APT|APARTMENT|C5-1|CAPACITY 5|
APT.C5-2|APARTMENT CAPACITY 5|APT|APARTMENT|C5-2|CAPACITY 5|
APT.C5-VM|APARTMENT SEA VIEW CAPACITY 5|APT|APARTMENT|C5-VM|SEA VIEW CAPACITY 5|
APT.C6|APARTMENT CAPACITY 6|APT|APARTMENT|C6|CAPACITY 6|
APT.C6-1|APARTMENT CAPACITY 6|APT|APARTMENT|C6-1|CAPACITY 6|
APT.C6-2|APARTMENT CAPACITY 6|APT|APARTMENT|C6-2|CAPACITY 6|
APT.C6-3|APARTMENT CAPACITY 6|APT|APARTMENT|C6-3|CAPACITY 6|
APT.C6-4|APARTMENT CAPACITY 6|APT|APARTMENT|C6-4|CAPACITY 6|
APT.C7|APARTMENT CAPACITY 7|APT|APARTMENT|C7|CAPACITY 7|
APT.C7-1|APARTMENT CAPACITY 7|APT|APARTMENT|C7-1|CAPACITY 7|
APT.C8|APARTMENT CAPACITY 8|APT|APARTMENT|C8|CAPACITY 8|
APT.C8-1|APARTMENT CAPACITY 8|APT|APARTMENT|C8-1|CAPACITY 8|
APT.C9|APARTMENT CAPACITY 9|APT|APARTMENT|C9|CAPACITY 9|
APT.CB|APARTMENT CLUB|APT|APARTMENT|CB|CLUB|
APT.CB-DX|APARTMENT CLUB DELUXE|APT|APARTMENT|CB-DX|CLUB DELUXE|
APT.CB-EJ|APARTMENT CLUB EXECUTIVE|APT|APARTMENT|CB-EJ|CLUB EXECUTIVE|
APT.CB-KG|APARTMENT CLUB KING BED|APT|APARTMENT|CB-KG|CLUB KING BED|
APT.CB-PE|APARTMENT CLUB PREMIER|APT|APARTMENT|CB-PE|CLUB PREMIER|
APT.CB-VM|APARTMENT CLUB SEA VIEW|APT|APARTMENT|CB-VM|CLUB SEA VIEW|
APT.CC-10|APARTMENT CAPACITY 10|APT|APARTMENT|CC-10|CAPACITY 10|
APT.CM|APARTMENT CONNECTING ROOM|APT|APARTMENT|CM|CONNECTING ROOM|
APT.CM-1|APARTMENT CONNECTING ROOM|APT|APARTMENT|CM-1|CONNECTING ROOM|
APT.CV|APARTMENT CITY VIEW|APT|APARTMENT|CV|CITY VIEW|
APT.CV-1|APARTMENT CITY VIEW|APT|APARTMENT|CV-1|CITY VIEW|
APT.CV-2|APARTMENT CITY VIEW|APT|APARTMENT|CV-2|CITY VIEW|
APT.CV-3|APARTMENT CITY VIEW|APT|APARTMENT|CV-3|CITY VIEW|
APT.CV-4|APARTMENT CITY VIEW|APT|APARTMENT|CV-4|CITY VIEW|
APT.CV-DX|APARTMENT DELUXE CITY VIEW|APT|APARTMENT|CV-DX|DELUXE CITY VIEW|
APT.CV-EJ|APARTMENT EXECUTIVE CITY VIEW|APT|APARTMENT|CV-EJ|EXECUTIVE CITY VIEW|
